"Ministerio","Titular","Período"
"Presidencia del Consejo de Ministros","Fernando Zavala Lombardi
Mercedes Aráoz Fernández","28 de julio de 2016 - 15 de septiembre de 2017
17 de septiembre de 2017 - 23 de marzo de 2018"
"Relaciones Exteriores","Víctor Ricardo Luna Mendoza
Cayetana Aljovín Gazzani","28 de julio de 2016 - 9 de enero de 2018
9 de enero de 2018 -23 de marzo de 2018"
"Defensa","Mariano González Fernández
Jorge Nieto Montesinos
Jorge Raúl Esteban Kisic Wagner","28 de julio de 2016 - 28 de noviembre de 2016
5 de diciembre de 2016 - 3 de enero de 2018
9 de enero de 2018 -23 de marzo de 2018"
"Economía y Finanzas","Alfredo Eduardo Thorne Vetter
Fernando Zavala Lombardi
Claudia María Cooper Fort","28 de julio de 2016 - 21 de junio de 2017
23 de junio de 2017 - 15 de septiembre de 2017
17 de septiembre de 2017 - 23 de marzo de 2018"
"Interior","Carlos Basombrío Iglesias
Vicente Romero Fernández","28 de julio de 2016 - 27 de diciembre de 2017
27 de diciembre de 2017 -23 de marzo de 2018"
"Justicia y Derechos Humanos","Marisol Pérez Tello
Enrique Mendoza Ramírez","28 de julio de 2016 - 15 de septiembre de 2017
17 de septiembre de 2017 - 23 de marzo de 2018"
"Educación","Jaime Saavedra Chanduví
Marilú Doris Martens Cortés
Idel Vexler Talledo","31 de octubre de 2013 - 18 de diciembre de 2016
18 de diciembre de 2016 - 15 de septiembre de 2017
17 de septiembre de 2017 - 23 de marzo de 2018"
"Salud","Patricia García Funegra
Fernando D'Alessio Ipinza
Abel Salinas Rivas","28 de julio de 2016 - 15 de septiembre de 2017
17 de septiembre de 2017 - 9 de enero de 2018
9 de enero de 2018 - 23 de marzo de 2018"
"Agricultura y Riego","José Manuel Hernández Calderón
José Arista Arbildo","28 de julio de 2016 - 9 de enero de 2018
9 de enero de 2018 - 23 de marzo de 2018"
"Trabajo y Promoción del Empleo","Alfonso Grados Carraro
Javier Barreda Jara","28 de julio de 2016 - 9 de enero de 2018
9 de enero de 2018 -23 de marzo de 2018"
"Producción","Bruno Giuffra Monteverde
Pedro Olaechea Álvarez-Calderón
Lieneke Schol Calle","28 de julio de 2016 - 25 de mayo de 2017
25 de mayo de 2017 - 9 de enero de 2018
9 de enero de 2018 -23 de marzo de 2018"
"Comercio Exterior y Turismo","Eduardo Ferreyros Küppers","28 de julio de 2016 - 23 de marzo de 2018"
"Energía y Minas","Gonzalo Tamayo Flores
Cayetana Aljovín Gazzani
Ángela Grossheim Barrientos","28 de julio de 2016 - 27 de julio de 2017
27 de julio de 2017 - 9 de enero de 2018
9 de enero de 2018 -23 de marzo de 2018"
"Transportes y Comunicaciones","Martín Vizcarra Cornejo
Bruno Giuffra Monteverde","28 de julio de 2016 - 22 de mayo de 2017
25 de mayo de 2017 - 23 de marzo de 2018"
"Vivienda, Construcción y Saneamiento","Edmer Trujillo Mori
Carlos Bruce Montes de Oca","28 de julio de 2016 - 15 de septiembre de 2017
17 de septiembre de 2017 - 23 de marzo de 2018"
"Mujer y Poblaciones Vulnerables","Ana María Romero-Lozada Lauezzari
Ana María Choquehuanca de Villanueva","28 de julio de 2016 - 27 de julio de 2017
27 de julio de 2017 - 23 de marzo de 2018"
"Ambiente","Elsa Galarza Contreras","28 de julio de 2016 - 23 de marzo de 2018"
"Cultura","Jorge Nieto Montesinos
Salvador del Solar Labarthe
Alejandro Neyra Sánchez","28 de julio de 2016 - 5 de diciembre de 2016
5 de diciembre de 2016 - 27 de diciembre de 2017
9 de enero de 2018 -23 de marzo de 2018"
"Desarrollo e Inclusión Social","Cayetana Aljovín Gazzani
Fiorella Molinelli Aristondo
Jorge Meléndez Celis","28 de julio de 2016 - 27 de julio de 2017
27 de julio de 2017 - 9 de enero de 2018
9 de enero de 2018 -23 de marzo de 2018"
